Estadio,Local,Visitante,Fecha,Ciudad,Torneo
Christian Benitez,Guayaquil City,Macara,08/02/19,Guayaquil,Liga Pro
Rodrigo Paz ,LDU Quito,olmedo,09/02/19,Quito,Liga Pro
Alejandro Serrano Aguilar,D. Cuenca,Ind. Del Valle,10/02/19,Cuenca,Liga Pro
9 de Mayo,Fuerza Amarilla,Delfin,09/02/19,Machala,Liga Pro
Monumental Banco Pichincha,Barcelona SC ,El Nacional,09/02/19,Guayaquil,Liga Pro
Chillogallo,Aucas,Emelec,10/02/19,Quito,Liga Pro
olimpico Atahualpa,America de Quito,Mushuc Runa,11/02/19,Quito,Liga Pro
Bellavista,Tecnico Universatorio,U. Catolica,10/02/19,Ambato,Liga Pro
olimpico Atahualpa,El Nacional,Aucas,15/02/19,Quito,Liga Pro
olimpico Atahualpa,U. Catolica,LDU Quito,16/02/19,Quito,Liga Pro
Bellavista,Mushuc Runa,D. Cuenca,16/02/19,Ambato,Liga Pro
Jocay de Manta,Delfin,Guayaquil City,16/02/19,Manta,Liga Pro
olimpico de Riobamba,olmedo,America de Quito,17/02/19,Riobamba,Liga Pro
Bellavista,Macara,Barcelona SC,17/02/19,Ambato,Liga Pro
Capwell,Emelec,Fuerza Amarilla,17/02/19,Guayaquil,Liga Pro
Estadio de Sangolqui,Ind. Del Valle,Tecnico Universatorio,18/02/19,Sangolqui,Liga Pro
Alejandro Serrano Aguilar,D. Cuenca,Emelec,22/02/19,Cuenca,Liga Pro
olimpico Atahualpa,America de Quito,LDU Quito,23/02/19,Quito,Liga Pro
Chillogallo,Aucas,U. Catolica,23/02/19,Quito,Liga Pro
olimpico Atahualpa,El Nacional,Delfin,23/02/19,Quito,Liga Pro
9 de Mayo,Fuerza Amarilla,olmedo,24/02/19,Machala,Liga Pro
Bellavista,Tecnico Universatorio,Macara,24/02/19,Ambato,Liga Pro
Monumental Banco Pichincha,Barcelona SC ,Mushuc Runa,24/02/19,Guayaquil,Liga Pro
Christian Benitez,Guayaquil City,Ind. Del Valle,25/02/19,Guayaquil,Liga Pro
Alejandro Serrano Aguilar,D. Cuenca,America de Quito,01/03/19,Cuenca,Liga Pro
Rodrigo Paz ,LDU Quito,Guayaquil City,02/03/19,Quito,Liga Pro
Bellavista,Mushuc Runa,El Nacional,02/03/19,Ambato,Liga Pro
olimpico de Riobamba,olmedo,Macara,02/03/19,Riobamba,Liga Pro
Jocay de Manta,Delfin,Aucas,03/03/19,Manta,Liga Pro
Capwell,Emelec,Tecnico Universatorio,03/03/19,Guayaquil,Liga Pro
Estadio de Sangolqui,Ind. Del Valle,Barcelona SC,03/03/19,Sangolqui,Liga Pro
olimpico Atahualpa,U. Catolica,Fuerza Amarilla,04/03/19,Quito,Liga Pro
Bellavista,Tecnico Universatorio,olmedo,08/03/19,Ambato,Liga Pro
Bellavista,Macara,LDU Quito,09/03/19,Ambato,Liga Pro
Estadio de Sangolqui,Ind. Del Valle,America de Quito,09/03/19,Sangolqui,Liga Pro
Jocay de Manta,Delfin,Emelec,09/03/19,Manta,Liga Pro
Chillogallo,Aucas,Mushuc Runa,10/03/19,Quito,Liga Pro
Christian Benitez,Guayaquil City,Fuerza Amarilla,10/03/19,Guayaquil,Liga Pro
Monumental Banco Pichincha,Barcelona SC ,U. Catolica,10/03/19,Guayaquil,Liga Pro
olimpico Atahualpa,El Nacional,D. Cuenca,11/03/19,Quito,Liga Pro
