provincia;partidoPolitico;sexo;votos
Esmeraldas;UNIDAD POPULAR;F;4165
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;116
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;213
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;46
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;66
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;755
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;17
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;50
Esmeraldas;FUERZA.EC;F;34
Esmeraldas;UNION ECUATORIANA;F;47
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;57
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;41
Esmeraldas;ALIANZA PROGRESISTA;F;2930
Esmeraldas;UNIDAD POPULAR;M;3349
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;116
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;153
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;67
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;68
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;655
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;15
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;65
Esmeraldas;FUERZA.EC;M;51
Esmeraldas;UNION ECUATORIANA;M;39
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;47
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;28
Esmeraldas;ALIANZA PROGRESISTA;M;2795
Esmeraldas;UNIDAD POPULAR;F;7618
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;372
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;469
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;131
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;161
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;1336
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;23
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;70
Esmeraldas;FUERZA.EC;F;79
Esmeraldas;UNION ECUATORIANA;F;44
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;121
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;96
Esmeraldas;ALIANZA PROGRESISTA;F;5146
Esmeraldas;UNIDAD POPULAR;M;5929
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;292
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;321
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;139
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;148
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;1287
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;17
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;136
Esmeraldas;FUERZA.EC;M;77
Esmeraldas;UNION ECUATORIANA;M;50
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;110
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;81
Esmeraldas;ALIANZA PROGRESISTA;M;4853
Esmeraldas;UNIDAD POPULAR;F;7620
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;257
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;442
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;93
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;119
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;1433
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;27
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;127
Esmeraldas;FUERZA.EC;F;99
Esmeraldas;UNION ECUATORIANA;F;64
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;116
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;75
Esmeraldas;ALIANZA PROGRESISTA;F;5135
Esmeraldas;UNIDAD POPULAR;M;6046
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;250
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;351
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;102
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;124
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;1343
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;20
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;187
Esmeraldas;FUERZA.EC;M;105
Esmeraldas;UNION ECUATORIANA;M;73
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;113
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;93
Esmeraldas;ALIANZA PROGRESISTA;M;4877
Esmeraldas;UNIDAD POPULAR;F;1269
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;49
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;67
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;12
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;42
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;346
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;3
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;12
Esmeraldas;FUERZA.EC;F;14
Esmeraldas;UNION ECUATORIANA;F;22
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;18
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;8
Esmeraldas;ALIANZA PROGRESISTA;F;1321
Esmeraldas;UNIDAD POPULAR;M;1080
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;51
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;47
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;15
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;31
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;329
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;6
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;20
Esmeraldas;FUERZA.EC;M;16
