provincia;total;Estado;Alquiler;Particular;Otros
AZUAY; 154.697 ; 1.941 ; 10.447 ; 142.291 ; 18 
BOLÍVAR; 25.796 ; 459 ; 2.861 ; 22.475 ; 1 
CAÑAR; 44.620 ; 407 ; 3.946 ; 40.265 ; 2 
CARCHI; 23.666 ; 331 ; 3.417 ; 19.917 ; 1 
COTOPAXI; 70.996 ; 2.099 ; 7.554 ; 61.338 ; 5 
CHIMBORAZO; 68.074 ; 1.696 ; 6.970 ; 59.405 ; 3 
EL ORO; 116.063 ; 1.163 ; 9.747 ; 105.143 ; 10 
ESMERALDAS; 45.369 ; 251 ; 4.370 ; 40.744 ; 4 
GUAYAS; 529.603 ; 4.546 ; 26.720 ; 498.222 ; 115 
IMBABURA; 58.724 ; 906 ; 5.997 ; 51.820 ; 1 
LOJA; 69.424 ; 949 ; 5.748 ; 62.725 ; 2 
LOS RÍOS; 131.764 ; 449 ; 6.576 ; 124.736 ; 3 
MANABÍ; 207.420 ; 1.388 ; 13.421 ; 192.593 ; 18 
MORONA SANTIAGO; 14.934 ; 524 ; 1.518 ; 12.890 ; 2 
NAPO; 9.379 ; 322 ; 1.114 ; 7.943 ; -   
PASTAZA; 11.663 ; 426 ; 1.131 ; 10.104 ; 2 
PICHINCHA; 540.827 ; 12.791 ; 38.492 ; 488.819 ; 725 
TUNGURAHUA; 107.224 ; 1.480 ; 10.969 ; 94.771 ; 4 
ZAMORA CHINCHIPE; 9.989 ; 463 ; 1.395 ; 8.131 ; -   
GALÁPAGOS; 2.952 ; 117 ; 366 ; 2.469 ; -   
SUCUMBÍOS; 29.725 ; 592 ; 2.616 ; 26.515 ; 2 
ORELLANA; 18.582 ; 517 ; 2.034 ; 16.030 ; 1 
SANTO DOMINGO DE LOS TSÁCHILAS; 81.253 ; 777 ; 7.137 ; 73.335 ; 4 
SANTA ELENA; 30.907 ; 681 ; 3.639 ; 26.582 ; 5 
