MES,AÑO,INSTALACION,ENTIDAD,DESCRIPCION,ACTIVIDAD
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CLUB GIMNASIA RITMICA ARGANDA,,Eventos Deportivos Especiales
MARZO,2019,PISCINA COMPETICION CIUDAD DEPORTIVA,CLUB NATACION ARGANDA,JORNADAS ESCOLARES,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CLUB GIMNASIA RITMICA ARGANDA,,Eventos Deportivos Especiales
MARZO,2019,CAMPO FUTBOL ESTADIO MUNICIPAL DEPORTES,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,JORNADA ESCOLAR ATLETISMO PRE OLIMPICA,Eventos Deportivos Especiales
MARZO,2019,PARKING CIUDAD DEPORTIVA,CLUB RASANTE SPORT,VERIFICACIÓN VEHICULOS RALLY CIUDAD DE ARGANDA,Eventos Deportivos Especiales
MARZO,2019,SALA FITNESS 3 - VC,CLUB KARATE IVAN LEAL,DIA DE LA MUJER,Eventos Deportivos Especiales
MARZO,2019,PARKING CIUDAD DEPORTIVA,CLUB RASANTE SPORT,VERIFICACIÓN VEHICULOS RALLY CIUDAD DE ARGANDA,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CLUB GIMNASIA RITMICA ARGANDA,,Eventos Deportivos Especiales
MARZO,2019,SALA MULTIPLE CIUDAD DEPORTIVA - 1,CLUB JUDO ARGANDA,DIA DE LA MUJER,Cursos
MARZO,2019,PISCINA COMPETICION CIUDAD DEPORTIVA,CLUB NATACION ARGANDA,4ª JADA. LIGA MADRID BENJAMIN,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,MASTER CLASS ZUMBA  AECC,Eventos Deportivos Especiales
MARZO,2019,PISCINA COMPETICION CIUDAD DEPORTIVA,CLUB SUBMARINISMO ARGANDA,DIA DE LA MUJER,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CLUB JUDO ARGANDA,III COPA DE ESPAÑA DE VETERANOS JUDO,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CLUB IVAN LEAL,TROFEO PRIMAVRA MEMORIAL JOSÉ M. HERNANDEZ,Eventos Deportivos Especiales
MARZO,2019,PISTA DE ATLETISMO. ESTADIO MUNICIPAL DE DEPORTES,CLUB ATLETISMO ARGANDA,VI JORNADA JJEE,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CLUB JUDO ARGANDA,COMPETICIÓN,Eventos Deportivos Especiales
MARZO,2019,PISTA MULTIPLE CD - 1,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,MARCHA POR SURESTEA ,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,MARATON VIAS VERDES,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,MARATON VIAS VERDES,Eventos Deportivos Especiales
MARZO,2019,PATINODROMO CIUDAD DEPORTIVA,CLUB PATINAJE ARGANDA,4ª JORNADA ESCOLAR (LÚDICA),Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,OLIMPIADAS,Eventos Deportivos Especiales
MARZO,2019,CAMPO FUTBOL ESTADIO MUNICIPAL DEPORTES,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,JORNADA INAUGURAL OLIMPIADAS,Eventos Deportivos Especiales
MARZO,2019,PISTA MULTIPLE CD - 1,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,SALIDA C.C. CHAMARTIN,Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,OLIMPIADAS,Eventos Deportivos Especiales
MARZO,2019,PISCINA COMPETICION CIUDAD DEPORTIVA,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,OLIMPIADAS (NATANCIÓN),Eventos Deportivos Especiales
MARZO,2019,RECINTO FERIAL ARGANDA,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,OLIMPIADAS (CICLISMO EN PISTA),Eventos Deportivos Especiales
MARZO,2019,PABELLON C.D. PRINCIPE FELIPE,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,OLIMPIADAS (JUDO),Eventos Deportivos Especiales
MARZO,2019,PABELLON ALBERTO HERREROS,CONCEJALIA DE DEPORTES - AYTO. ARGANDA,OLIMPIADAS (KARATE),Eventos Deportivos Especiales
